[2026-01-07 14:04:03] project: galaxian
[2026-01-07 14:04:03] logger/dir: logger
[2026-01-07 14:04:03] env/max_episode_steps: 400
[2026-01-07 14:04:03] train/lr: 1e-3
[2026-01-07 14:04:03] sampling/percentile: 80
[2026-01-07 14:04:03] sampling/batch_size: 300
[2026-01-07 14:04:03] sampling/epochs: 50
[2026-01-07 14:04:03] export/tensorboard: runs
[2026-01-07 14:04:03] export/video_folder: video
[2026-01-07 14:04:03] export/model: galaxian.pth
[2026-01-07 14:04:03] session_id: quiet_hill_4398
[2026-01-07 14:26:33] [5]: loss=1.784767, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:33] [5]: loss=1.784383, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:33] [5]: loss=1.784020, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:34] [5]: loss=1.783691, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:34] [5]: loss=1.783567, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:34] [5]: loss=1.783687, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:34] [5]: loss=1.782869, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:34] [5]: loss=1.782449, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:34] [5]: loss=1.782044, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:34] [5]: loss=1.781533, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:26:35] [5]: loss=1.781193, reward_mean=489.1, rw_bound=620.0
[2026-01-07 14:30:53] [6]: loss=1.785083, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:53] [6]: loss=1.784900, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:53] [6]: loss=1.784312, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:53] [6]: loss=1.783968, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:53] [6]: loss=1.783423, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:53] [6]: loss=1.782894, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:54] [6]: loss=1.782342, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:54] [6]: loss=1.781866, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:54] [6]: loss=1.781301, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:54] [6]: loss=1.780867, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:54] [6]: loss=1.780369, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:54] [6]: loss=1.779730, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:55] [6]: loss=1.779248, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:55] [6]: loss=1.778567, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:55] [6]: loss=1.777732, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:55] [6]: loss=1.777159, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:55] [6]: loss=1.777008, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:55] [6]: loss=1.779564, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:56] [6]: loss=1.776771, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:30:56] [6]: loss=1.777368, reward_mean=495.7, rw_bound=610.0
[2026-01-07 14:35:13] [7]: loss=1.779141, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:13] [7]: loss=1.779772, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:14] [7]: loss=1.778723, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:14] [7]: loss=1.778092, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:14] [7]: loss=1.777233, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:14] [7]: loss=1.776463, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:14] [7]: loss=1.775894, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:14] [7]: loss=1.775036, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:14] [7]: loss=1.774448, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:15] [7]: loss=1.773843, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:15] [7]: loss=1.772905, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:15] [7]: loss=1.772212, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:15] [7]: loss=1.771381, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:15] [7]: loss=1.770682, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:15] [7]: loss=1.769758, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:16] [7]: loss=1.768753, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:16] [7]: loss=1.768000, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:16] [7]: loss=1.767147, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:16] [7]: loss=1.766323, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:35:16] [7]: loss=1.765252, reward_mean=507.4, rw_bound=620.0
[2026-01-07 14:39:36] [8]: loss=1.765619, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:37] [8]: loss=1.765095, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:37] [8]: loss=1.767359, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:37] [8]: loss=1.765332, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:37] [8]: loss=1.763738, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:37] [8]: loss=1.762687, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:37] [8]: loss=1.763306, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:38] [8]: loss=1.761690, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:38] [8]: loss=1.762346, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:38] [8]: loss=1.760151, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:38] [8]: loss=1.758156, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:38] [8]: loss=1.758069, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:38] [8]: loss=1.756603, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:38] [8]: loss=1.755112, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:39] [8]: loss=1.753886, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:39] [8]: loss=1.753159, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:39] [8]: loss=1.751895, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:39] [8]: loss=1.750221, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:39] [8]: loss=1.748755, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:39:39] [8]: loss=1.747707, reward_mean=522.4, rw_bound=660.0
[2026-01-07 14:43:56] [9]: loss=1.747258, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:56] [9]: loss=1.747008, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:56] [9]: loss=1.746662, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:56] [9]: loss=1.749696, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:56] [9]: loss=1.748142, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:56] [9]: loss=1.744683, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:57] [9]: loss=1.743609, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:57] [9]: loss=1.742788, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:57] [9]: loss=1.739468, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:57] [9]: loss=1.740080, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:57] [9]: loss=1.737009, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:57] [9]: loss=1.736991, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:58] [9]: loss=1.734644, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:58] [9]: loss=1.733552, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:58] [9]: loss=1.732543, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:58] [9]: loss=1.730365, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:58] [9]: loss=1.729586, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:58] [9]: loss=1.727509, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:59] [9]: loss=1.726486, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:43:59] [9]: loss=1.724755, reward_mean=506.4, rw_bound=630.0
[2026-01-07 14:48:18] [10]: loss=1.728486, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:18] [10]: loss=1.727957, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:18] [10]: loss=1.726409, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:19] [10]: loss=1.724833, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:19] [10]: loss=1.722439, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:19] [10]: loss=1.720490, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:19] [10]: loss=1.719139, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:19] [10]: loss=1.723227, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:19] [10]: loss=1.728095, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:20] [10]: loss=1.717529, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:20] [10]: loss=1.721689, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:20] [10]: loss=1.717033, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:20] [10]: loss=1.713965, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:20] [10]: loss=1.712431, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:20] [10]: loss=1.710298, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:20] [10]: loss=1.710424, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:21] [10]: loss=1.717470, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:21] [10]: loss=1.717291, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:21] [10]: loss=1.710522, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:48:21] [10]: loss=1.708153, reward_mean=531.5, rw_bound=660.0
[2026-01-07 14:52:44] [11]: loss=1.726366, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:44] [11]: loss=1.727341, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:44] [11]: loss=1.726027, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:44] [11]: loss=1.724117, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:44] [11]: loss=1.723367, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:44] [11]: loss=1.721949, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:45] [11]: loss=1.719537, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:45] [11]: loss=1.717947, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:45] [11]: loss=1.716187, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:45] [11]: loss=1.714279, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:45] [11]: loss=1.712744, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:45] [11]: loss=1.710816, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:46] [11]: loss=1.708943, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:46] [11]: loss=1.707039, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:46] [11]: loss=1.704989, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:46] [11]: loss=1.702913, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:46] [11]: loss=1.700749, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:46] [11]: loss=1.698583, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:47] [11]: loss=1.696470, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:52:47] [11]: loss=1.694578, reward_mean=553.6, rw_bound=700.0
[2026-01-07 14:57:52] [12]: loss=1.693390, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:52] [12]: loss=1.693697, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:52] [12]: loss=1.692087, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:52] [12]: loss=1.687767, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:52] [12]: loss=1.686022, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:52] [12]: loss=1.682242, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:52] [12]: loss=1.679505, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:53] [12]: loss=1.676688, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:53] [12]: loss=1.673666, reward_mean=561.2, rw_bound=692.0
[2026-01-07 14:57:53] [12]: loss=1.670576, reward_mean=561.2, rw_bound=692.0
