[2026-01-06 22:21:14] project: galaxian
[2026-01-06 22:21:14] logger/dir: logger
[2026-01-06 22:21:14] env/max_episode_steps: 200
[2026-01-06 22:21:14] train/lr: 1e-3
[2026-01-06 22:21:14] sampling/percentile: 80
[2026-01-06 22:21:14] sampling/batch_size: 300
[2026-01-06 22:21:14] sampling/epochs: 50
[2026-01-06 22:21:14] export/tensorboard: runs
[2026-01-06 22:21:14] export/video_folder: video
[2026-01-06 22:21:14] export/model: galaxian.pth
[2026-01-06 22:21:14] session_id: broken_moon_c93b
[2026-01-06 22:45:31] [11]: loss=1.569812, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:31] [11]: loss=1.567088, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:31] [11]: loss=1.562294, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:31] [11]: loss=1.558871, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:45:31] [11]: loss=1.555068, reward_mean=321.9, rw_bound=400.0
[2026-01-06 22:47:35] [12]: loss=1.572877, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:35] [12]: loss=1.575333, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:35] [12]: loss=1.571204, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:35] [12]: loss=1.566094, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:35] [12]: loss=1.560438, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:35] [12]: loss=1.557600, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:35] [12]: loss=1.553685, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:35] [12]: loss=1.547556, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:35] [12]: loss=1.544606, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:35] [12]: loss=1.539086, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:36] [12]: loss=1.536449, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:36] [12]: loss=1.531498, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:36] [12]: loss=1.528421, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:36] [12]: loss=1.524938, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:36] [12]: loss=1.519858, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:36] [12]: loss=1.516664, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:36] [12]: loss=1.511253, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:36] [12]: loss=1.508336, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:36] [12]: loss=1.503839, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:47:36] [12]: loss=1.500161, reward_mean=345.6, rw_bound=420.0
[2026-01-06 22:49:40] [13]: loss=1.518865, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:40] [13]: loss=1.518682, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.522008, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.525616, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.513987, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.507797, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.502028, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.496683, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.489100, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.485776, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.478621, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.473515, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.468367, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.462403, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:41] [13]: loss=1.458694, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:42] [13]: loss=1.452606, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:42] [13]: loss=1.448602, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:42] [13]: loss=1.442482, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:42] [13]: loss=1.438537, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:49:42] [13]: loss=1.432166, reward_mean=356.7, rw_bound=440.0
[2026-01-06 22:51:47] [14]: loss=1.438040, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:47] [14]: loss=1.436024, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.432032, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.429167, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.425913, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.413728, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.405191, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.401217, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.391909, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.384882, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.381566, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.373524, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.368050, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.363769, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.361193, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:48] [14]: loss=1.352916, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:49] [14]: loss=1.344359, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:49] [14]: loss=1.338656, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:49] [14]: loss=1.333788, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:51:49] [14]: loss=1.328669, reward_mean=383.6, rw_bound=472.0
[2026-01-06 22:54:03] [15]: loss=1.355336, reward_mean=388.1, rw_bound=480.0
[2026-01-06 22:54:03] [15]: loss=1.371471, reward_mean=388.1, rw_bound=480.0
[2026-01-06 22:54:03] [15]: loss=1.366194, reward_mean=388.1, rw_bound=480.0
[2026-01-06 22:54:03] [15]: loss=1.358603, reward_mean=388.1, rw_bound=480.0
[2026-01-06 22:54:03] [15]: loss=1.347113, reward_mean=388.1, rw_bound=480.0
[2026-01-06 22:54:03] [15]: loss=1.337501, reward_mean=388.1, rw_bound=480.0
