[2026-01-08 15:22:13] project: cartpole_mcts
[2026-01-08 15:22:13] logger/dir: logger
[2026-01-08 15:22:13] env/max_episode_steps: 500
[2026-01-08 15:22:13] mcts/iterations: 40
[2026-01-08 15:22:13] mcts/rollout_cap: 30.0
[2026-01-08 15:22:13] export/video_folder: video
[2026-01-08 15:22:13] session_id: silent_feather_af76
[2026-01-08 15:22:13] project: cartpole_mcts
[2026-01-08 15:22:13] logger/dir: logger
[2026-01-08 15:22:13] env/max_episode_steps: 500
[2026-01-08 15:22:13] mcts/iterations: 40
[2026-01-08 15:22:13] mcts/rollout_cap: 30.0
[2026-01-08 15:22:13] export/video_folder: video
[2026-01-08 15:22:14] [66]: reward=1.0, ep_return=66.0, root_visits=40, root_mean=17.750, best_q=18.000
[2026-01-08 15:22:14] [67]: reward=1.0, ep_return=67.0, root_visits=40, root_mean=15.975, best_q=16.139
[2026-01-08 15:22:14] [68]: reward=1.0, ep_return=68.0, root_visits=40, root_mean=17.050, best_q=17.765
[2026-01-08 15:22:14] [69]: reward=1.0, ep_return=69.0, root_visits=40, root_mean=18.500, best_q=18.711
[2026-01-08 15:22:14] [70]: reward=1.0, ep_return=70.0, root_visits=40, root_mean=17.850, best_q=18.103
[2026-01-08 15:22:14] [71]: reward=1.0, ep_return=71.0, root_visits=40, root_mean=17.000, best_q=17.103
[2026-01-08 15:22:14] [72]: reward=1.0, ep_return=72.0, root_visits=40, root_mean=18.600, best_q=18.744
[2026-01-08 15:22:14] [73]: reward=1.0, ep_return=73.0, root_visits=40, root_mean=18.250, best_q=18.410
[2026-01-08 15:22:14] [74]: reward=1.0, ep_return=74.0, root_visits=40, root_mean=16.850, best_q=17.000
[2026-01-08 15:22:15] [75]: reward=1.0, ep_return=75.0, root_visits=40, root_mean=16.200, best_q=16.421
[2026-01-08 15:22:15] [76]: reward=1.0, ep_return=76.0, root_visits=40, root_mean=18.100, best_q=18.282
[2026-01-08 15:22:15] [77]: reward=1.0, ep_return=77.0, root_visits=40, root_mean=18.025, best_q=18.278
[2026-01-08 15:22:15] [78]: reward=1.0, ep_return=78.0, root_visits=40, root_mean=17.875, best_q=18.026
[2026-01-08 15:22:15] [79]: reward=1.0, ep_return=79.0, root_visits=40, root_mean=18.450, best_q=18.590
[2026-01-08 15:22:15] [80]: reward=1.0, ep_return=80.0, root_visits=40, root_mean=18.450, best_q=18.800
[2026-01-08 15:22:15] [81]: reward=1.0, ep_return=81.0, root_visits=40, root_mean=16.975, best_q=17.179
[2026-01-08 15:22:15] [82]: reward=1.0, ep_return=82.0, root_visits=40, root_mean=16.350, best_q=16.459
[2026-01-08 15:22:15] [83]: reward=1.0, ep_return=83.0, root_visits=40, root_mean=19.225, best_q=19.308
[2026-01-08 15:22:15] [84]: reward=1.0, ep_return=84.0, root_visits=40, root_mean=18.225, best_q=18.658
[2026-01-08 15:22:15] [85]: reward=1.0, ep_return=85.0, root_visits=40, root_mean=17.875, best_q=17.273
[2026-01-08 15:22:15] [86]: reward=1.0, ep_return=86.0, root_visits=40, root_mean=18.075, best_q=18.378
[2026-01-08 15:22:15] [87]: reward=1.0, ep_return=87.0, root_visits=40, root_mean=16.700, best_q=17.000
[2026-01-08 15:22:15] [88]: reward=1.0, ep_return=88.0, root_visits=40, root_mean=18.350, best_q=18.462
[2026-01-08 15:22:15] [89]: reward=1.0, ep_return=89.0, root_visits=40, root_mean=17.975, best_q=18.103
[2026-01-08 15:22:15] [90]: reward=1.0, ep_return=90.0, root_visits=40, root_mean=17.700, best_q=17.816
[2026-01-08 15:22:15] [91]: reward=1.0, ep_return=91.0, root_visits=40, root_mean=15.700, best_q=15.872
[2026-01-08 15:22:15] [92]: reward=1.0, ep_return=92.0, root_visits=40, root_mean=16.025, best_q=16.395
[2026-01-08 15:22:15] [93]: reward=1.0, ep_return=93.0, root_visits=40, root_mean=17.200, best_q=17.462
[2026-01-08 15:22:15] [94]: reward=1.0, ep_return=94.0, root_visits=40, root_mean=15.775, best_q=15.897
[2026-01-08 15:22:15] [95]: reward=1.0, ep_return=95.0, root_visits=40, root_mean=18.000, best_q=18.256
[2026-01-08 15:22:15] [96]: reward=1.0, ep_return=96.0, root_visits=40, root_mean=16.550, best_q=16.795
[2026-01-08 15:22:15] [97]: reward=1.0, ep_return=97.0, root_visits=40, root_mean=17.575, best_q=18.219
[2026-01-08 15:22:15] [98]: reward=1.0, ep_return=98.0, root_visits=40, root_mean=16.325, best_q=16.487
[2026-01-08 15:22:15] [99]: reward=1.0, ep_return=99.0, root_visits=40, root_mean=19.150, best_q=19.594
[2026-01-08 15:22:15] [100]: reward=1.0, ep_return=100.0, root_visits=40, root_mean=19.850, best_q=20.091
[2026-01-08 15:22:15] [101]: reward=1.0, ep_return=101.0, root_visits=40, root_mean=17.800, best_q=17.974
[2026-01-08 15:22:15] [102]: reward=1.0, ep_return=102.0, root_visits=40, root_mean=17.075, best_q=17.231
[2026-01-08 15:22:15] [103]: reward=1.0, ep_return=103.0, root_visits=40, root_mean=17.600, best_q=17.974
[2026-01-08 15:22:15] [104]: reward=1.0, ep_return=104.0, root_visits=40, root_mean=18.175, best_q=18.405
[2026-01-08 15:22:15] [105]: reward=1.0, ep_return=105.0, root_visits=40, root_mean=17.325, best_q=17.528
[2026-01-08 15:22:15] [106]: reward=1.0, ep_return=106.0, root_visits=40, root_mean=17.150, best_q=17.486
[2026-01-08 15:22:15] [107]: reward=1.0, ep_return=107.0, root_visits=40, root_mean=16.750, best_q=16.778
[2026-01-08 15:22:15] [108]: reward=1.0, ep_return=108.0, root_visits=40, root_mean=17.700, best_q=17.846
[2026-01-08 15:22:15] [109]: reward=1.0, ep_return=109.0, root_visits=40, root_mean=17.800, best_q=17.949
[2026-01-08 15:22:15] [110]: reward=1.0, ep_return=110.0, root_visits=40, root_mean=17.400, best_q=17.543
[2026-01-08 15:22:15] [111]: reward=1.0, ep_return=111.0, root_visits=40, root_mean=16.575, best_q=16.607
[2026-01-08 15:22:15] [112]: reward=1.0, ep_return=112.0, root_visits=40, root_mean=17.200, best_q=17.968
[2026-01-08 15:22:15] [113]: reward=1.0, ep_return=113.0, root_visits=40, root_mean=19.650, best_q=19.872
[2026-01-08 15:22:15] [114]: reward=1.0, ep_return=114.0, root_visits=40, root_mean=20.100, best_q=20.231
[2026-01-08 15:22:15] [115]: reward=1.0, ep_return=115.0, root_visits=40, root_mean=16.525, best_q=16.967
[2026-01-08 15:22:15] [116]: reward=1.0, ep_return=116.0, root_visits=40, root_mean=16.050, best_q=16.154
[2026-01-08 15:22:15] [117]: reward=1.0, ep_return=117.0, root_visits=40, root_mean=18.650, best_q=18.923
[2026-01-08 15:22:15] [118]: reward=1.0, ep_return=118.0, root_visits=40, root_mean=17.775, best_q=18.211
[2026-01-08 15:22:15] [119]: reward=1.0, ep_return=119.0, root_visits=40, root_mean=17.000, best_q=17.371
[2026-01-08 15:22:15] [120]: reward=1.0, ep_return=120.0, root_visits=40, root_mean=17.250, best_q=17.487
[2026-01-08 15:22:15] [121]: reward=1.0, ep_return=121.0, root_visits=40, root_mean=16.750, best_q=17.053
[2026-01-08 15:22:15] [122]: reward=1.0, ep_return=122.0, root_visits=40, root_mean=18.125, best_q=18.385
[2026-01-08 15:22:15] [123]: reward=1.0, ep_return=123.0, root_visits=40, root_mean=17.600, best_q=17.744
[2026-01-08 15:22:15] [124]: reward=1.0, ep_return=124.0, root_visits=40, root_mean=18.700, best_q=18.897
[2026-01-08 15:22:15] [125]: reward=1.0, ep_return=125.0, root_visits=40, root_mean=19.200, best_q=19.359
[2026-01-08 15:22:15] [126]: reward=1.0, ep_return=126.0, root_visits=40, root_mean=18.800, best_q=19.226
[2026-01-08 15:22:15] [127]: reward=1.0, ep_return=127.0, root_visits=40, root_mean=18.850, best_q=19.026
[2026-01-08 15:22:15] [128]: reward=1.0, ep_return=128.0, root_visits=40, root_mean=16.575, best_q=16.692
[2026-01-08 15:22:16] [129]: reward=1.0, ep_return=129.0, root_visits=40, root_mean=18.250, best_q=18.436
[2026-01-08 15:22:16] [130]: reward=1.0, ep_return=130.0, root_visits=40, root_mean=18.225, best_q=18.724
[2026-01-08 15:22:16] [131]: reward=1.0, ep_return=131.0, root_visits=40, root_mean=18.475, best_q=18.829
[2026-01-08 15:22:16] [132]: reward=1.0, ep_return=132.0, root_visits=40, root_mean=19.200, best_q=19.462
[2026-01-08 15:22:16] [133]: reward=1.0, ep_return=133.0, root_visits=40, root_mean=18.800, best_q=19.000
[2026-01-08 15:22:16] [134]: reward=1.0, ep_return=134.0, root_visits=40, root_mean=18.475, best_q=18.769
[2026-01-08 15:22:16] [135]: reward=1.0, ep_return=135.0, root_visits=40, root_mean=17.600, best_q=17.947
[2026-01-08 15:22:16] [136]: reward=1.0, ep_return=136.0, root_visits=40, root_mean=16.950, best_q=17.400
[2026-01-08 15:22:16] [137]: reward=1.0, ep_return=137.0, root_visits=40, root_mean=17.900, best_q=17.045
[2026-01-08 15:22:16] [138]: reward=1.0, ep_return=138.0, root_visits=40, root_mean=18.500, best_q=18.667
[2026-01-08 15:22:16] [139]: reward=1.0, ep_return=139.0, root_visits=40, root_mean=18.725, best_q=18.895
[2026-01-08 15:22:16] [140]: reward=1.0, ep_return=140.0, root_visits=40, root_mean=18.275, best_q=18.514
[2026-01-08 15:22:16] [141]: reward=1.0, ep_return=141.0, root_visits=40, root_mean=18.500, best_q=18.615
[2026-01-08 15:22:16] [142]: reward=1.0, ep_return=142.0, root_visits=40, root_mean=17.450, best_q=17.400
[2026-01-08 15:22:16] [143]: reward=1.0, ep_return=143.0, root_visits=40, root_mean=17.825, best_q=18.243
[2026-01-08 15:22:16] [144]: reward=1.0, ep_return=144.0, root_visits=40, root_mean=18.450, best_q=18.590
[2026-01-08 15:22:16] [145]: reward=1.0, ep_return=145.0, root_visits=40, root_mean=17.400, best_q=17.590
[2026-01-08 15:22:16] [146]: reward=1.0, ep_return=146.0, root_visits=40, root_mean=19.900, best_q=20.128
[2026-01-08 15:22:16] [147]: reward=1.0, ep_return=147.0, root_visits=40, root_mean=18.325, best_q=18.564
[2026-01-08 15:22:16] [148]: reward=1.0, ep_return=148.0, root_visits=40, root_mean=17.950, best_q=18.158
[2026-01-08 15:22:16] [149]: reward=1.0, ep_return=149.0, root_visits=40, root_mean=18.450, best_q=20.133
[2026-01-08 15:22:16] [150]: reward=1.0, ep_return=150.0, root_visits=40, root_mean=17.175, best_q=17.359
[2026-01-08 15:22:16] [151]: reward=1.0, ep_return=151.0, root_visits=40, root_mean=16.950, best_q=17.051
[2026-01-08 15:22:16] [152]: reward=1.0, ep_return=152.0, root_visits=40, root_mean=18.625, best_q=18.718
[2026-01-08 15:22:16] [153]: reward=1.0, ep_return=153.0, root_visits=40, root_mean=16.350, best_q=16.579
[2026-01-08 15:22:16] [154]: reward=1.0, ep_return=154.0, root_visits=40, root_mean=19.475, best_q=19.658
